I5 combo;Location: port Elizabeth;Age: Not sure;Price: 4000;https://carbonite.co.za/index.php?threads/i5-combo.302873/
I5 9600KF;Location: Randburg;Age:1 year;Price: R4000;https://carbonite.co.za/index.php?threads/i5-9600kf.307184/
i7 9700 (non-K);Location: Roodepoort;Age: A couple of months;Price: R4000;https://carbonite.co.za/index.php?threads/i7-9700-non-k.310481/
(2011-3) 6950X QS @ R3500 OR E5-2699V3 @4000;Location: Randburg;Age: Unknown, bought from carb just over 2 years ago;Price: 3500;https://carbonite.co.za/index.php?threads/2011-3-6950x-qs-r3500-or-e5-2699v3-4000.311922/
Intel i7 - 8700K;Location: Centurion, Gauteng;Age: 3 Years;Price: R4,000 (Neg.);https://carbonite.co.za/index.php?threads/intel-i7-8700k.328916/
I5 9600KF;Location: Pretoria Gauteng Menlyn area;Age: 2 Months (bought in may);Price: R3500-R4000;https://carbonite.co.za/index.php?threads/i5-9600kf.304020/
i7-9700 up to 4.70 GHz;Location: Durban;Age: Few months;Price: R3999;https://carbonite.co.za/index.php?threads/i7-9700-up-to-4-70-ghz.309820/
i7 8700K @ 4.7ghz @R3999;Location: Durban;Age: About 2yrs;Price: R3999;https://carbonite.co.za/index.php?threads/i7-8700k-4-7ghz-r3999.308364/
Intel® Core™ i7-8700K Processor;Location: Roodepoort;Age: 2.5 Years;Price: R3999;https://carbonite.co.za/index.php?threads/intel%C2%AE-core%E2%84%A2-i7-8700k-processor.324894/
I7 9700t cpu;Location: midrand or kempton park;Age: not sure;Price: 3700;https://carbonite.co.za/index.php?threads/i7-9700t-cpu.312365/
I5 9600k R3600;Location: Pietermaritzburg;Age: 2 weeks since purchase;Price: R3600;https://carbonite.co.za/index.php?threads/i5-9600k-r3600.308797/
i5 9600KF;Location: Centurion;Age: 1-2 years;Price: 3600;https://carbonite.co.za/index.php?threads/i5-9600kf.324030/
5960X;Location: Vaalpark;Age: Unknown;Price: R3500;https://carbonite.co.za/index.php?threads/5960x.298942/
i7 7740X;Location: Nelspruit;Age: Not sure. Baught secondhand;Price: R3500;https://carbonite.co.za/index.php?threads/i7-7740x.296912/
Intel i5 9600K;Location: Vaalpark;Age: 1.5 years;Price: R3500;https://carbonite.co.za/index.php?threads/intel-i5-9600k.299496/
i7 7700;Location: nelspruit;Age: 2 years;Price: R 3500 neg;https://carbonite.co.za/index.php?threads/i7-7700.302744/
7700k;Location: Waverley Pretoria;Age: not sure;Price: R3500;https://carbonite.co.za/index.php?threads/7700k.314320/
Core i7 7700k 4.20ghz CPU;Location: Pretoria;Age: 2years;Price: 3500;https://carbonite.co.za/index.php?threads/core-i7-7700k-4-20ghz-cpu.315306/
Intel I7 7700k Delidded and lapped;Location: Centurion;Age: 3 years;Price: R3500;https://carbonite.co.za/index.php?threads/intel-i7-7700k-delidded-and-lapped.322539/
Intel 9600kf;Location: Centurion;Age: Purchased 18 May 2020;Price: R3500;https://carbonite.co.za/index.php?threads/intel-9600kf.327317/
Intel i5 9600K;Location: Amanzimtoti, Durban;Age: Around 1 Year;Price: R3500;https://carbonite.co.za/index.php?threads/intel-i5-9600k.329707/
CPU i7 8700K for sale;Location: Pretoria;Age: 2-3 years;Price: R3500;https://carbonite.co.za/index.php?threads/cpu-i7-8700k-for-sale.327759/
Intel Core i7 7700k & Asus Z290-F Motherboard combo;Location: Cape Town;Age: 2 Years;Price: R3,500.00;https://carbonite.co.za/index.php?threads/intel-core-i7-7700k-asus-z290-f-motherboard-combo.332726/
Intel 8th Gen Core i7-8700K Coffee Lake up to 4.70GHz;Location: Centurion;Age: 14 months;Price: R3500;https://carbonite.co.za/index.php?threads/intel-8th-gen-core-i7-8700k-coffee-lake-up-to-4-70ghz.332328/
i7 8700k;Location: KZN;Age: Around 3 years;Price: R3500;https://carbonite.co.za/index.php?threads/i7-8700k.330897/
i7 8700;Location: Pretoria;Age: cant remember;Price: R4000;https://carbonite.co.za/index.php?threads/i7-8700.322839/
i7 7700k;Location: Brackenfell;Age: 3 years;Price: R3500;https://carbonite.co.za/index.php?threads/i7-7700k.331779/
I7 9700 non k R3500;Location: CPT;Age: not sure;Price: R3500;https://carbonite.co.za/index.php?threads/i7-9700-non-k-r3500.334234/
Intel Core i7 7700K;Location: Centurion;Age: 2 years;Price: R3500;https://carbonite.co.za/index.php?threads/intel-core-i7-7700k.337176/
Intel 10th Gen Core i5 10400;Location: Fish Hoek, Cape Town;Age: 4 Months old;Price: R3500;https://carbonite.co.za/index.php?threads/intel-10th-gen-core-i5-10400.326867/
Intel Core i7 7700K;Location: Boksburg;Age: 2 years +-;Price: R3500;https://carbonite.co.za/index.php?threads/intel-core-i7-7700k.338123/
i7 7700;Location: Midrand;Age: 3 years;Price: R3500;https://carbonite.co.za/index.php?threads/i7-7700.338656/
Intel Core i5 9600K;Location: North West, Rustenburg;Age: 1 Year 3 Months;Price: 3500;https://carbonite.co.za/index.php?threads/intel-core-i5-9600k.332811/
I7-6700 , GA-Z170-HD3 DDr3 mobo with io shield;Location: Gauteng;Age: unknown;Price:3500neg;https://carbonite.co.za/index.php?threads/i7-6700-ga-z170-hd3-ddr3-mobo-with-io-shield.311581/
Intel i7 7800X;Location: East Rand, JHB;Age: 3 years;Price: R3499;https://carbonite.co.za/index.php?threads/intel-i7-7800x.333148/
Intel i5-9600K;Location: Secunda;Age: 1.7 years;Price: R3400;https://carbonite.co.za/index.php?threads/intel-i5-9600k.305594/
i7 8700 @ R3399;Location: Durban;Age: 2-3 years;Price: R3399;https://carbonite.co.za/index.php?threads/i7-8700-r3399.319200/
Intel i7 4770, Gigabyte GA-Z87M-D3H, 16GB DDR3 - Not Splitting;Location: Northern Suburbs, Cape Town;Age: About 6 years, (2x 4GB G.Skill 3 months old);Price: 3300;https://carbonite.co.za/index.php?threads/intel-i7-4770-gigabyte-ga-z87m-d3h-16gb-ddr3-not-splitting.296487/
i7 7700 CPU - Sold;Location: Rondebosch Cape Town;Age: not sure;Price: R3300 selling it for same price i bought it for from Chris r DBE 2 days ago;https://carbonite.co.za/index.php?threads/i7-7700-cpu-sold.306277/
Intel i5 7500 CPU, 16gb Hyper X Ram and Z270-A-PRO Motherboard;Location: Cape Town;Age: few years;Price: R3300;https://carbonite.co.za/index.php?threads/intel-i5-7500-cpu-16gb-hyper-x-ram-and-z270-a-pro-motherboard.310596/
intel i5 6600K;Location: Gauteng, Boksburg;Age: 3 Years;Price: R3300.00;https://carbonite.co.za/index.php?threads/intel-i5-6600k.323739/
(Cancelled) Intel Core i5-8400;Location: Cape Town;"Age: Not sure; bought a few days ago but probably +2 years";Price: 3000 no Neg;https://carbonite.co.za/index.php?threads/cancelled-intel-core-i5-8400.305447/
i5 8600k CPU;Location: CT;Age: 2.5 years;Price: R3200;https://carbonite.co.za/index.php?threads/i5-8600k-cpu.317757/
Intel I5-8600K;Location: Amanzimtoti;Age: 2 HalF years;Price: R3200;https://carbonite.co.za/index.php?threads/intel-i5-8600k.319244/
Intel Core i5-9600KF 3.70GHz (Turbo Boost up to 4.60GHz) 9MB SmartCache;Location: Centurion;Age: 2 years;Price: R3200;https://carbonite.co.za/index.php?threads/intel-core-i5-9600kf-3-70ghz-turbo-boost-up-to-4-60ghz-9mb-smartcache.322664/
I7 7700k;Location: Centurion;Age: 3 years;Price:3000;https://carbonite.co.za/index.php?threads/i7-7700k.333132/
i5-7400 Combo (R3200);Location: Pretoria;Age: Almost 3 years;Price: R3500 (negotiable);https://carbonite.co.za/index.php?threads/i5-7400-combo-r3200.329506/
Intel Core i7 8700;Location: George;Age: Less Than a Year;Price: R3000;https://carbonite.co.za/index.php?threads/intel-core-i7-8700.294838/
Intel Core i7 6700 CPU;Location: Durban;Age: unknown;Price: R3000;https://carbonite.co.za/index.php?threads/intel-core-i7-6700-cpu.297380/
Intel Core i5-6600 CPU @ 3.30GHz;Location: Johannesburg;Age: Second Hand;Price: R3,000;https://carbonite.co.za/index.php?threads/intel-core-i5-6600-cpu-3-30ghz.299171/
Brand new, i7-6700 @3.40GHz - R3000;Location: Jhb South, Mondeor;Age: Brand new, sealed in anti static bag;Price: R3000;https://carbonite.co.za/index.php?threads/brand-new-i7-6700-3-40ghz-r3000.299375/
Intel 9600k;Location: Sandton;Age: Bought December 2019;Price: R3000;https://carbonite.co.za/index.php?threads/intel-9600k.299576/
i7 6700k;Location: Bloemfontein, FS;Age: 3 years +-;Price: R3000;https://carbonite.co.za/index.php?threads/i7-6700k.300324/
(Brand New) Intel Core i5-8500 @3.0GHz - R3000;Location: Jhb South, Mondeor;Age: Brand new, sealed in anti static bag;Price: R3000;https://carbonite.co.za/index.php?threads/brand-new-intel-core-i5-8500-3-0ghz-r3000.299929/
i5 9600k OEM;Location: Clear water mall;Age: Bought 23 April 2020;Price: R3000;https://carbonite.co.za/index.php?threads/i5-9600k-oem.300712/
i5 9600k OEM;Location: Pretoria;Age: Bought 23 April 2020;Price: R3000;https://carbonite.co.za/index.php?threads/i5-9600k-oem.299098/
Intel I5 8600k;Location: Centurion;Age: 3 Years;Price: R3000;https://carbonite.co.za/index.php?threads/intel-i5-8600k.310571/
6600k plus maximus viii ranger motherboard;Location: Cape Town;Age: Not sure;Price: 3000;https://carbonite.co.za/index.php?threads/6600k-plus-maximus-viii-ranger-motherboard.312418/
(Brand New) i7-6700 @3.40 GHz Cpu - R3000;Location: Jhb South, Mondeor;Age: Brand new, sealed in anti static bag;Price: R3000;https://carbonite.co.za/index.php?threads/brand-new-i7-6700-3-40-ghz-cpu-r3000.307498/
i7 5960X X99 2011-3;Location: Morningside JHB;Age: Unknown. Bought from fellow Carbie in March 2019;Price: R3000 Negotiable;https://carbonite.co.za/index.php?threads/i7-5960x-x99-2011-3.314625/
Intel Core i7 7700k (SOLD);Location: Zonnebloem , Cape Town;Age: Unknown;Price: R3000;https://carbonite.co.za/index.php?threads/intel-core-i7-7700k-sold.319025/
